Name,Address,City,State,ZIP,,,
Ebby Halliday Realtors in Plano West,3310 Dallas Pkwy Suite 207,,,,,,
Haistings Real Estate Group - Compass,5025 W Park Blvd #300,,,,,,
JPAR - Corporate Office,5045 Lorimar Dr #180,,,,,,
Plano Real Estate,3600 Preston Rd #100,,,,,,
JPAR - Plano,5045 Lorimar Dr #180,,,,,,
CENTURY 21 Fine Homes & Estates Judge Fite Company,3516 Preston Rd #800,,,,,,
The Hollers Team Realtors at JPAR Plano,5045 Lorimar Dr,,,,,,
AMX Realty,1721 W Plano Pkwy suite 222,,,,,,
HomeSmart Stars,5717 Legacy Dr Suite 250,,,,,,
U Property Group,5151 Headquarters Dr #110,,,,,,
Briggs Freeman Sotheby's International Realty - The North,7301 Lone Star Dr,,,,,,
Northbrook Realty Group,1701 Summit Ave Ste 6,,,,,,
Ebby Halliday Companies - Home Office,5560 Tennyson Pkwy Suite 100,,,,,,
Southern Hills Realty,700 E Park Blvd,,,,,,
Keller Williams Realty Legacy,3600 Preston Rd #100,,,,,,
Flex Group Real Estate | Plano Real Estate Agents,5830 Granite Pkwy Suite 100 - 230,,,,,,
Ritz Group,"Compass Real Estate, 5025 W Park Blvd #300",,,,,,
One Legacy West,7950 Legacy Dr,,,,,,
Coldwell Banker Realty,4701 W Parker Rd Suite 650,,,,,,
The Sharp Real Estate Group - eXp Realty,6275 W Plano Pkwy Suite 500,,,,,,
Novus Real Estate,2828 W Parker Rd,,,,,,
OnDemand Realty | Plano,6201 W Plano Pkwy Suite 130,,,,,,
"Amy Jacobs - REALTOR, Relocation Specialist, Buying & Selling DFW . Luxury Apartments","Amy Jacobs, REALTOR, RELOCATION SPECIALIST, Berkshire Hathaway, 2800 Dallas Pkwy Ste. 350",,,,,,
"Harold Carter, REALTORS","Headquarters, 400 Chisholm Pl Suite 219",,,,,,
Aesthetic Realty,1721 W Plano Pkwy #102,,,,,,
Keller Williams Legacy - Cheryl McCarter,3600 Preston Rd,,,,,,
North Texas Top Team Realtors,,,,,,,
Re/Max Dallas Suburbs,3915 McDermott Rd #100,,,,,,
All Starz Realty,6150 Independence Pkwy Unit K1,,,,,,
Jan's Realty,420 Maplelawn Dr,,,,,,
Sophia Polk Realty,2701 North Dallas Pkwy Ste 150,,,,,,
The Jan Richey Team,3600 Preston Rd,,,,,,
Avignon Realty,1144 N Plano Rd #133,,,,,,
Collin County Area REALTORS®,6821 Coit Rd,,,,,,
"The Mandy Pickerill Team, Realtor With Coldwell Banker Apex",7705 San Jacinto Pl #200,,,,,,
"HomePlace Realty, Plano Realtor",6521 Preston Rd #100,,,,,,
Providence Group Realty,,,,,,,
Real Estate Agent Plano TX-Shams Noorani Realtor,,,,,,,
DRAKE COPELAND REALTY,2301 Shinnery Oak Dr,,,,,,
"Steve Lay, Keller Williams Plano, Collin County Realtor",3600 Preston Rd #100,,,,,,
"Coldwell Banker Apex, Realtors",7705 San Jacinto Pl #200,,,,,,
Grand Ark Realty,3911 W Park Blvd,,,,,,
Dallas Realty Pros,,,,,,,
BSA Realty,1721 W Plano Pkwy #123,,,,,,
Jason Counts Andrews | Plano TX REALTOR,,,,,,,
Finch Commercial Realty,3933 Bierstadt Cir,,,,,,
Berkshire Hathaway HomeServices PenFed Realty Texas,"2800 Dallas Pkwy Suite, 350",,,,,,
Seeto Realty,700 W Spring Creek Pkwy #212,,,,,,
Skyline Realty Firm - Real Estate Agency Plano,5851 Legacy Cir 6th floor ste 1171,,,,,,
Om Realty Finance Company,3204 Lanarc Dr,,,,,,
Park One Properties - Realtors,2121 Spring Creek Pkwy # 108,,,,,,
"Jay Newton, Ebby Halliday, REALTORS Plano",,,,,,,
OG DFW Team | Coldwell Banker Realty,,,,,,,
Plano Real Estate - iSmart Realty,6860 Dallas Pkwy,,,,,,
GO Real Estate Group,2701 W Plano Pkwy Ste 650,,,,,,
ENGVEST Group | eXp Commercial,7005 Chase Oaks Blvd #200,,,,,,
Big State Apartment Locators,2828 W Parker Rd #103,,,,,,
"Van Poole Properties Group, KELLER WILLIAMS Realty",18333 Preston Rd #100,,,,,,
Bryan Haggard Land Group - Dallas Fort Worth Land Broker,3369 Premier Dr #100,,,,,,
"Primera Companies, Inc- Headquarters Place",5151 Headquarters Dr,,,,,,
"Kendra McKiddy, Realtor - Plano, Texas",3310 Dallas Pkwy Suite 207,,,,,,
"Primera Companies, Inc- Towne Square Place I",5345 Towne Square Dr,,,,,,
"Carrie Himel Group Realtor, Compass",2595 Dallas Pkwy Suite 300,,,,,,
MLS for Homes Sales & Staging - Coldwell Banker APEX,,,,,,,
"Vanessa Collins, REALTOR®",5045 Lorimar Dr,,,,,,
Granite Properties Inc.,5601 Granite Pkwy # 1200,,,,,,
Denise Hanti | Good to be Home Group | Keller Williams Plano,,,,,,,
Global Realty,704 E 15th St,,,,,,
Keller Williams Dallas Preston Road,18333 Preston Rd #100,,,,,,
Lone Star Realty Group,5501 Independence Pkwy STE 301,,,,,,
The Good Home Team,7965 Custer Rd #125,,,,,,
VIVO Realty,5200 McDermott Rd #215,,,,,,
Sharon Ketko Realty,4021 Preston Rd #614,,,,,,
Providence Group Realty,,,,,,,
U Property Group,5151 Headquarters Dr #110,,,,,,
Byron Cole | Keller Williams Realty Plano,,,,,,,
Top DFW House Buyers Plano,,,,,,,
"Stacey Leslie. The Agency, an eXp Brokered Agency",122 Rose Ln #1202,,,,,,
Keller Williams Residential - Dallas,3600 Preston Rd,,,,,,
Eureka Business Group,8105 Rasor Boulevard Suite 266,,,,,,
"Shannon Moneymaker Bartek Realtor | Shannon Moneymaker Bartek Group | Coldwell Banker Apex, Realtors",,,,,,,
The Christie Cannon Team - Keller Williams,5933 Preston Rd #300,,,,,,
"Cindy Coggins Realty Group | Realtor - Keller Williams, Allen TX",1002 Raintree Cir STE 100,,,,,,
Temporary Housing Directory,3308 Preston Rd,,,,,,
"TEXAS URBAN LIVING REALTY, LLC",5830 Granite Pkwy ste 100-228,,,,,,
"Jlyne Hanback, Realtor",3600 Preston Rd,,,,,,
Posey Properties Realtors,3608 Preston Rd #205,,,,,,
Sam Moon Group,6007 Legacy Dr,,,,,,
Adams Vu Realty Group,6201 W Plano Pkwy Suite 130,,,,,,
Nu Home Source Realty,1400 Preston Rd STE 400,,,,,,
Lincoln Rackhouse,1000 Coit Rd,,,,,,
Zahava Teigman Realtor Keller Williams DPR Richardson | Dallas | Fort Worth | Plano | TX,,,,,,,
VP Realty Services,,,,,,,
Real Estate Agent - Bill Butcher,,,,,,,
Keller Williams Frisco Stars,4783 Preston Rd #100,,,,,,
VIVO Realty,5200 McDermott Rd #215,,,,,,
HomeSmart Stars,5717 Legacy Dr Suite 250,,,,,,
CENTURY 21 Fine Homes & Estates Judge Fite Company,3516 Preston Rd #800,,,,,,
AMX Realty,1721 W Plano Pkwy suite 222,,,,,,
JPAR - Plano,5045 Lorimar Dr #180,,,,,,
Briggs Freeman Sotheby's International Realty - The North,7301 Lone Star Dr,,,,,,
Ebby Halliday Companies - Home Office,5560 Tennyson Pkwy Suite 100,,,,,,
All Starz Realty,6150 Independence Pkwy Unit K1,,,,,,
"Carrie Himel Group Realtor, Compass",2595 Dallas Pkwy Suite 300,,,,,,
Nina Bhanot Group,2595 Dallas Pkwy Suite 300,,,,,,
Grand Ark Realty,3911 W Park Blvd,,,,,,
Real Estate Agent - Bill Butcher,,,,,,,
MLS for Homes Sales & Staging - Coldwell Banker APEX,,,,,,,
The Christie Cannon Team - Keller Williams,5933 Preston Rd #300,,,,,,
Avignon Realty,1144 N Plano Rd #133,,,,,,
Gregorio Real Estate Company,,,,,,,
"Stacey Leslie. The Agency, an eXp Brokered Agency",122 Rose Ln #1202,,,,,,
Redfin | Dallas Real Estate Agents,2611 Internet Blvd #201,,,,,,
"Encore Enterprises, Inc.",6900 Dallas Pkwy,,,,,,
Boxer Property - Plano Tower,101 E Park Blvd,,,,,,
VP Realty Services,,,,,,,
1152 Realty: Sakina Ismaelbay - McKinney TX Real Estate Agent,5900 S Lake Forest Dr Ste 300,,,,,,
Stone Global Realty,,,,,,,
The Bridge at Heritage Creekside,1550 W Plano Pkwy,,,,,,
"Coldwell Banker Apex, Realtors",1778 W McDermott Dr,,,,,,
RSB Living,,,,,,,
Mathena Real Estate,,,,,,,
RE/MAX Town & Country,301 S Watters Rd,,,,,,
HomeSteps,6555 Excellence Way,,,,,,
"Coldwell Banker Apex, Realtors",18260 Preston Rd #110,,,,,,
"Robertson Realty, LLC",5700 Granite Pkwy Suite 380,,,,,,
Univesco Inc,2800 Dallas Pkwy # 100,,,,,,
Chad Odom - Richardson Real Estate Agency,,,,,,,
Preston Bend Commercial Real Estate,,,,,,,
KhalilSellsPlanoHomes.com,,,,,,,
Apartment Locators Plano,,,,,,,
Plano Property Management,,,,,,,
Fraser Realty,2100 Alamo Rd suite t,,,,,,
McGee & Co Realty Powered by ExP,3504 Cross Bend Road Cross Bend Plano,,,,,,
"Primera Companies, Inc- Towne Square Place II",8400 Belleview Dr Suite 125,,,,,,
Cortland North Plano,9601 Custer Rd,,,,,,
Blasko Real Estate Group,3360 Long Prairie Rd Suite 100,,,,,,
Meritage Homes - Dallas,8840 Cypress Waters Blvd,,,,,,
REAL Dallas Properties and Management,4780 Iberia Ave,,,,,,
Skyline Realty Firm,4514 Cole Ave # 600,,,,,,
Alex Prins Real Estate Agent - Compass,5960 Berkshire Ln #700,,,,,,
"Mysti Stewart Group, Real Estate Agents - Dallas, TX",6220 Gaston Ave #200,,,,,,
Dallas Sage Real Estate | East Dallas Realty,6031 Gaston Ave,,,,,,
"Jay Robbins, Robbins Real Estate Group",1920 McKinney Ave 7th floor,,,,,,
Living in Dallas Texas Team,2919 Commerce St STE 250,,,,,,
Dallas & Beyond Real Estate Group,2681 MacArthur Blvd Suite 203,,,,,,
VIP Realty,3010 Lyndon B Johnson Fwy #1200,,,,,,
DLG REALTY ADVISORS,4131 N Central Expy Suite 975,,,,,,
Knox & Associates Real Estate Brokers,900 Jackson St,,,,,,
East Dallas Real Estate Group - Paragon Realtors - REALTOR®,4228 N Central Expy Suite 100,,,,,,
Gulchuk Real Estate Dallas TX,2626 Cole Ave Suite 300,,,,,,
Karen Cuskey-Hartman | Hartman Terilli Realty | East Dallas Real Estate,5950 Sherry Ln #200,,,,,,
"Dustin Pitts, REALTOR® | Dallas Real Estate Agent",4131 N Central Expy Suite 964,,,,,,
Briggs Freeman Sotheby's International Realty,3131 Turtle Creek Blvd 5th Floor,,,,,,
Housed Real Estate + Relocation,9850 N Central Expy Suite 204,,,,,,
Better Homes and Gardens Real Estate Winans,14643 Dallas Pkwy # 750,,,,,,
Susan Georgeson | Dallas Luxury Real Estate | Compass,,,,,,,
Dan Harker - EmpowerHome Team Dallas,18333 Preston Rd #100,,,,,,
Keller Williams Urban Dallas,3800 Maple Ave #800,,,,,,
"Adil Ali, Dallas-Fort Worth Real Estate Agent",5960 Berkshire Ln Suite 700,,,,,,
"Van Poole Properties Group, KELLER WILLIAMS Realty",18333 Preston Rd #100,,,,,,
United Real Estate Dallas,5217 Alpha Rd,,,,,,
"NetWorth Realty of Dallas, LLC",5014 McKinney Ave,,,,,,
The Nuncio Realty Group at Paragon REALTORS,4228 N Central Expy Suite 100,,,,,,
North Texas Home - Dallas Real Estate Agency of Realtors and Agents,,,,,,,
Dallas Luxury Realty,17250 Dallas Pkwy,,,,,,
The Agency Dallas,8111 Preston Rd Suite 725,,,,,,
NB Elite Realty LLC,1601 Elm St f33,,,,,,
"Grace Realty Group, Texas Power by Fathom",105 S Zang Blvd,,,,,,
DFW Elite Living,13155 Noel Rd Suite 900,,,,,,
"INXT Realty Group, Dallas Real Estate Agent, Brittany Realzola Experienced 16+year Real Estate Agent, Real estate near you",,,,,,,
Keller Williams Dallas Preston Road,18333 Preston Rd #100,,,,,,
ULR Properties - Dallas,3102 Swiss Ave,,,,,,
Caple And Company,2601 Hibernia St,,,,,,
Dallas Fort Worth Real Estate: Legacy Lanes Realty Group | Nha Dat Hoa Ky I Trixie Nguyen Realtor,,,,,,,
Practice Real Estate Group - Dallas,3232 McKinney Ave Suite 500,,,,,,
Standard Real Estate,2800 N Henderson Ave #102,,,,,,
Skyline Realty Firm - Real Estate Agency North Texas,16801 Addison Rd #124a,,,,,,
Abigail Davis REALTOR - Compass Dallas,5960 Berkshire Ln #700,,,,,,
Dallas In Demand Realty Group,6802 Robin Willow Ct,,,,,,
"Douglas Elliman Real Estate Office in Knox/Henderson Dallas, TX",4514 Travis St #200,,,,,,
"The Dallas Native Team, Dave Perry-Miller Real Estate",6025 Luther Ln,,,,,,
DFW Urban Realty,2626 Cole Ave Suite 300,,,,,,
Michael Reynolds @ Briggs Freeman Sotheby's International Realty,3131 Turtle Creek Blvd 5th Floor,,,,,,
